7.665308,45.77088;50.29657,6.507907
8.650546,47.24786;-0.06052215,33.44202
6.602705,50.1717;-50.80517,56.26339
2.545741,54.39153;-75.86855,77.24328
0.4501061,59.32687;-14.92278,84.7162
1.233198,62.54801;26.69781,38.52658
4.009847,62.81541;55.88279,-12.15042
5.464688,60.68846;25.39006,-57.48874
5.022464,56.07912;-23.37883,-86.32443
2.141464,50.81027;-60.08023,-88.57876
-2.219697,47.04881;-78.86165,-50.04914
-5.396719,42.40933;-40.30596,-90.68571
-5.572818,37.2109;15.32703,-84.68418
-3.017233,33.94672;55.91981,-39.6269
1.753376,33.37268;91.08926,5.111579
5.3263,35.28654;44.15004,44.98089
6.218693,39.49048;0.5863225,82.37079
4.605021,45.83851;-40.34461,117.313
0.4516174,53.98741;-83.37432,144.9117
-5.467318,61.50334;-106.1373,115.6726
-9.924141,66.5075;-58.69268,67.6116
-11.73595,67.71162;-16.23629,-14.41889
-13.95185,65.55251;-52.26554,-51.74852
-14.89142,61.53489;2.2089,-74.42681
-13.08041,55.68352;43.87718,-108.8741
-8.909414,47.97954;82.08402,-137.9978
-2.929025,40.34469;108.2986,-122.0128
3.204129,35.80532;141.1108,-73.08089
13.12279,33.05042;177.1919,-32.63396
21.44762,29.79165;119.949,-64.92188
26.06306,26.42608;55.88169,-51.76753
27.4216,24.87389;6.406677,-13.18279
28.70931,23.13359;28.84967,-36.78825
32.47745,20.51976;79.45126,-46.91945
29.20204,19.27887;-44.60162,-7.918797
25.98684,20.75419;-58.03739,40.4824
21.21372,24.88074;-90.12344,82.65378
17.31174,31.55856;-52.78325,125.343
16.00282,40.30376;-6.672539,155.7823
17.89797,49.65421;50.31147,155.9072
22.53374,57.09078;90.45984,108.3259
26.109,61.6498;44.48631,60.16009
27.14612,63.33184;4.00437,12.30783
25.9177,62.27074;-32.52179,-32.3565
22.93498,58.39924;-58.16249,-80.30828
18.85526,52.21843;-72.8356,-114.1649
16.436,46.24641;-24.42717,-92.38771
17.01031,40.95035;26.19128,-86.28812
19.29575,37.8161;43.90108,-35.61329
21.79928,37.06423;40.67852,-1.283791
25.968,38.38142;83.63,33.32743
28.53961,40.93638;22.95683,47.09879
27.83741,42.50383;-28.58186,15.93435
27.90954,41.86394;15.61401,-23.60171
30.52246,42.04092;57.26948,15.8912
31.10897,41.4522;5.448311,-22.22927
29.11585,41.49529;-46.7977,11.87292
24.46451,42.47279;-92.61218,18.46744
17.60289,41.81387;-125.0559,-25.38766
12.06925,40.96703;-76.17852,-8.603381
9.191641,40.47589;-34.17361,-7.977052
9.20545,39.65062;16.90655,-16.59694
11.8235,37.09687;56.75733,-55.31189
16.42188,32.04042;86.41098,-98.49006
19.48541,27.72096;33.77473,-59.02895
19.67856,25.87031;-11.64407,-17.08223
20.65187,26.50407;29.89021,23.95367
23.6975,29.01024;61.01743,50.52322
25.55447,33.53193;16.2791,87.54745
24.84528,40.18156;-25.5652,122.2756
24.89461,48.95174;13.7307,157.9174
23.57438,57.60334;-40.39587,186.1236
19.6873,66.59373;-76.72743,132.1093
13.91003,67.06293;-105.8527,-31.12654
9.199271,63.40912;-65.17679,-75.47291
6.69438,57.12349;-30.31473,-119.1362
6.178946,51.55058;-7.164679,-145.9977
11.75258,38.14509;0,0
-26.51442,53.32785;0,0
-25.01339,51.59604;37.30211,-43.03769
-20.7863,48.62785;86.7169,-52.66099
-14.4789,46.0616;114.175,-37.95616
-9.86773,45.15296;58.6043,-3.99722
-8.505331,45.59942;5.22375,12.96166
-8.901006,47.30157;-12.36047,35.96648
-8.260341,49.95179;21.92507,48.24141
-5.20191,53.43914;65.21716,63.01155
-0.4646794,55.66679;85.70695,24.49714
2.212027,56.96738;24.53392,20.2799
1.332708,57.83854;-33.73862,11.79928
-2.255782,56.91446;-72.63116,-28.70067
-5.480754,53.15899;-44.56312,-79.19596
-9.595337,46.9028;-80.36095,-116.5946
-13.17647,40.66568;-84.09175,-157.9251
-19.65169,33.22164;-119.6032,-107.5288
-27.64489,29.06856;-139.9165,-50.49368
-30.63463,26.43009;18.26844,-40.72873
-28.03737,22.38896;55.56114,-80.43884
-24.69462,15.51437;55.81788,-131.3358
-19.83271,9.587831;93.38637,-82.87831
-12.77915,6.407311;129.4293,-38.42109
-3.750653,5.87863;160.8287,5.670559
6.309027,8.370767;171.0567,59.09754
15.34991,13.82473;140.7482,106.483
22.01432,21.76961;96.58178,145.1375
26.03625,31.85027;52.5909,179.2507
26.87751,42.92994;-4.849784,187.3542
24.52821,52.66107;-55.94809,149.9027
19.39648,59.97665;-100.0228,108.2724
11.49554,65.35026;-147.2175,80.43608
1.333745,68.40208;-180.2496,36.40834
-7.595738,66.32041;-133.4611,-41.6913
-13.47677,62.45026;-80.70827,-75.67286
-18.86249,58.49142;-94.22577,-61.26909
-26.35229,53.95474;-139.8617,-82.66412
-32.70374,47.61735;-89.2494,-116.8824
-29.44564,43.43077;41.99078,-69.62987
-25.32466,37.88119;81.78152,-103.7362
-18.84168,30.44609;120.9463,-133.8437
-9.932481,23.99014;162.0033,-94.78519
-1.879034,18.44679;120.6558,-91.23295
3.852936,15.19218;83.25272,-36.16027
7.738939,15.25557;55.75653,19.22935
9.47897,18.14874;15.97561,62.4213
8.936529,23.39324;-21.27273,99.69841
9.281034,30.81847;18.95592,135.5865
12.39489,39.72935;68.03432,154.8982
18.35144,47.54922;114.5891,118.3468
23.26366,52.73878;65.87184,70.91732
25.49147,55.07601;23.07724,23.32783
25.33944,54.63515;-14.92772,-22.22959
22.85471,53.98674;-54.41699,-5.270039
